clientEvent, server time, 9.686331, client Time, 1.155768,server step, 112, client step, 113, step Time, 113, input jump, 0
clientEvent, server time, 9.702819, client Time, 1.154768,server step, 113, client step, 114, step Time, 114, input jump, 0
clientEvent, server time, 9.719698, client Time, 1.170569,server step, 114, client step, 115, step Time, 115, input jump, 0
clientEvent, server time, 9.736133, client Time, 1.171569,server step, 115, client step, 116, step Time, 116, input jump, 0
clientEvent, server time, 9.753096, client Time, 1.187041,server step, 116, client step, 117, step Time, 117, input jump, 0
clientEvent, server time, 9.769332, client Time, 1.204573,server step, 117, client step, 118, step Time, 118, input jump, 0
clientEvent, server time, 9.786506, client Time, 1.204573,server step, 118, client step, 119, step Time, 119, input jump, 0
clientEvent, server time, 9.803835, client Time, 1.221198,server step, 119, client step, 120, step Time, 120, input jump, 0
clientEvent, server time, 9.820083, client Time, 1.220198,server step, 120, client step, 121, step Time, 121, input jump, 0
clientEvent, server time, 9.836379, client Time, 1.237897,server step, 121, client step, 122, step Time, 122, input jump, 0
clientEvent, server time, 9.856648, client Time, 1.255159,server step, 122, client step, 123, step Time, 123, input jump, 0
clientEvent, server time, 9.869195, client Time, 1.255159,server step, 123, client step, 124, step Time, 124, input jump, 0
clientEvent, server time, 9.885806, client Time, 1.271992,server step, 124, client step, 125, step Time, 125, input jump, 0
clientEvent, server time, 9.920656, client Time, 1.271992,server step, 125, client step, 126, step Time, 126, input jump, 0
clientEvent, server time, 9.945813, client Time, 1.288885,server step, 126, client step, 127, step Time, 127, input jump, 0
clientEvent, server time, 9.970771, client Time, 1.303832,server step, 127, client step, 128, step Time, 128, input jump, 0
clientEvent, server time, 9.985830, client Time, 1.303832,server step, 128, client step, 129, step Time, 129, input jump, 0
clientEvent, server time, 10.002669, client Time, 1.320439,server step, 129, client step, 130, step Time, 130, input jump, 0
clientEvent, server time, 10.019138, client Time, 1.321439,server step, 130, client step, 131, step Time, 131, input jump, 0
clientEvent, server time, 10.036046, client Time, 1.337939,server step, 131, client step, 132, step Time, 132, input jump, 0
clientEvent, server time, 10.052486, client Time, 1.353646,server step, 132, client step, 133, step Time, 133, input jump, 0
clientEvent, server time, 10.070331, client Time, 1.353646,server step, 133, client step, 134, step Time, 134, input jump, 0
clientEvent, server time, 10.087362, client Time, 1.370671,server step, 134, client step, 135, step Time, 135, input jump, 0
