newTime, 0.908386, absoluteTime, 0.908386, accumulator, 0.018386, discrete time, 89, input jump, 0
newTime, 0.908386, absoluteTime, 0.908386, accumulator, 0.008386, discrete time, 90, input jump, 0
newTime, 0.925140, absoluteTime, 0.925140, accumulator, 0.025140, discrete time, 90, input jump, 0
newTime, 0.925140, absoluteTime, 0.925140, accumulator, 0.015140, discrete time, 91, input jump, 0
newTime, 0.925140, absoluteTime, 0.925140, accumulator, 0.015140, discrete time, 91, input jump, 0
newTime, 0.925140, absoluteTime, 0.925140, accumulator, 0.005140, discrete time, 92, input jump, 0
newTime, 0.941902, absoluteTime, 0.941902, accumulator, 0.021902, discrete time, 92, input jump, 0
newTime, 0.941902, absoluteTime, 0.941902, accumulator, 0.011902, discrete time, 93, input jump, 0
newTime, 0.941902, absoluteTime, 0.941902, accumulator, 0.011902, discrete time, 93, input jump, 0
newTime, 0.941902, absoluteTime, 0.941902, accumulator, 0.001902, discrete time, 94, input jump, 0
newTime, 0.958445, absoluteTime, 0.958445, accumulator, 0.018445, discrete time, 94, input jump, 0
newTime, 0.958445, absoluteTime, 0.958445, accumulator, 0.008445, discrete time, 95, input jump, 0
newTime, 0.975127, absoluteTime, 0.975127, accumulator, 0.025127, discrete time, 95, input jump, 0
newTime, 0.975127, absoluteTime, 0.975127, accumulator, 0.015127, discrete time, 96, input jump, 0
newTime, 0.975127, absoluteTime, 0.975127, accumulator, 0.015127, discrete time, 96, input jump, 0
newTime, 0.975127, absoluteTime, 0.975127, accumulator, 0.005127, discrete time, 97, input jump, 0
newTime, 0.991729, absoluteTime, 0.991729, accumulator, 0.021729, discrete time, 97, input jump, 0
newTime, 0.991729, absoluteTime, 0.991729, accumulator, 0.011729, discrete time, 98, input jump, 0
newTime, 0.991729, absoluteTime, 0.991729, accumulator, 0.011729, discrete time, 98, input jump, 0
newTime, 0.991729, absoluteTime, 0.991729, accumulator, 0.001729, discrete time, 99, input jump, 0
newTime, 1.008394, absoluteTime, 1.008394, accumulator, 0.018394, discrete time, 99, input jump, 0
newTime, 1.008394, absoluteTime, 1.008394, accumulator, 0.008394, discrete time, 100, input jump, 0
newTime, 1.025081, absoluteTime, 1.025081, accumulator, 0.025081, discrete time, 100, input jump, 0
newTime, 1.025081, absoluteTime, 1.025081, accumulator, 0.015081, discrete time, 101, input jump, 0
newTime, 1.025081, absoluteTime, 1.025081, accumulator, 0.015081, discrete time, 101, input jump, 0
newTime, 1.025081, absoluteTime, 1.025081, accumulator, 0.005081, discrete time, 102, input jump, 0
newTime, 1.041719, absoluteTime, 1.041719, accumulator, 0.021719, discrete time, 102, input jump, 1
newTime, 1.041719, absoluteTime, 1.041719, accumulator, 0.011719, discrete time, 103, input jump, 1
newTime, 1.041719, absoluteTime, 1.041719, accumulator, 0.011719, discrete time, 103, input jump, 1
newTime, 1.041719, absoluteTime, 1.041719, accumulator, 0.001719, discrete time, 104, input jump, 1
newTime, 1.058514, absoluteTime, 1.058514, accumulator, 0.018514, discrete time, 104, input jump, 0
newTime, 1.058514, absoluteTime, 1.058514, accumulator, 0.008514, discrete time, 105, input jump, 0
newTime, 1.075199, absoluteTime, 1.075199, accumulator, 0.025199, discrete time, 105, input jump, 0
newTime, 1.075199, absoluteTime, 1.075199, accumulator, 0.015199, discrete time, 106, input jump, 0
newTime, 1.075199, absoluteTime, 1.075199, accumulator, 0.015199, discrete time, 106, input jump, 0
