newTime, 1.025084, absoluteTime, 1.025084, accumulator, 0.025084, discrete time, 100, input jump, 1
newTime, 1.025084, absoluteTime, 1.025084, accumulator, 0.015084, discrete time, 101, input jump, 1
newTime, 1.025084, absoluteTime, 1.025084, accumulator, 0.015084, discrete time, 101, input jump, 1
newTime, 1.025084, absoluteTime, 1.025084, accumulator, 0.005084, discrete time, 102, input jump, 1
newTime, 1.041713, absoluteTime, 1.041713, accumulator, 0.021713, discrete time, 102, input jump, 0
newTime, 1.041713, absoluteTime, 1.041713, accumulator, 0.011713, discrete time, 103, input jump, 0
newTime, 1.041713, absoluteTime, 1.041713, accumulator, 0.011713, discrete time, 103, input jump, 0
newTime, 1.041713, absoluteTime, 1.041713, accumulator, 0.001713, discrete time, 104, input jump, 0
newTime, 1.058275, absoluteTime, 1.058275, accumulator, 0.018275, discrete time, 104, input jump, 0
newTime, 1.058275, absoluteTime, 1.058275, accumulator, 0.008275, discrete time, 105, input jump, 0
newTime, 1.074951, absoluteTime, 1.074951, accumulator, 0.024951, discrete time, 105, input jump, 0
newTime, 1.074951, absoluteTime, 1.074951, accumulator, 0.014951, discrete time, 106, input jump, 0
newTime, 1.074951, absoluteTime, 1.074951, accumulator, 0.014951, discrete time, 106, input jump, 0
newTime, 1.074951, absoluteTime, 1.074951, accumulator, 0.004951, discrete time, 107, input jump, 0
newTime, 1.091720, absoluteTime, 1.091720, accumulator, 0.021720, discrete time, 107, input jump, 0
newTime, 1.091720, absoluteTime, 1.091720, accumulator, 0.011720, discrete time, 108, input jump, 0
newTime, 1.091720, absoluteTime, 1.091720, accumulator, 0.011720, discrete time, 108, input jump, 0
newTime, 1.091720, absoluteTime, 1.091720, accumulator, 0.001720, discrete time, 109, input jump, 0
newTime, 1.108287, absoluteTime, 1.108287, accumulator, 0.018287, discrete time, 109, input jump, 0
newTime, 1.108287, absoluteTime, 1.108287, accumulator, 0.008287, discrete time, 110, input jump, 0
newTime, 1.125053, absoluteTime, 1.125053, accumulator, 0.025053, discrete time, 110, input jump, 0
newTime, 1.125053, absoluteTime, 1.125053, accumulator, 0.015053, discrete time, 111, input jump, 0
newTime, 1.125053, absoluteTime, 1.125053, accumulator, 0.015053, discrete time, 111, input jump, 0
newTime, 1.125053, absoluteTime, 1.125053, accumulator, 0.005053, discrete time, 112, input jump, 0
newTime, 1.141793, absoluteTime, 1.141793, accumulator, 0.021793, discrete time, 112, input jump, 0
newTime, 1.141793, absoluteTime, 1.141793, accumulator, 0.011793, discrete time, 113, input jump, 0
newTime, 1.141793, absoluteTime, 1.141793, accumulator, 0.011793, discrete time, 113, input jump, 0
newTime, 1.141793, absoluteTime, 1.141793, accumulator, 0.001793, discrete time, 114, input jump, 0
newTime, 1.158385, absoluteTime, 1.158385, accumulator, 0.018385, discrete time, 114, input jump, 0
newTime, 1.158385, absoluteTime, 1.158385, accumulator, 0.008385, discrete time, 115, input jump, 0
newTime, 1.175120, absoluteTime, 1.175120, accumulator, 0.025120, discrete time, 115, input jump, 0
newTime, 1.175120, absoluteTime, 1.175120, accumulator, 0.015120, discrete time, 116, input jump, 0
newTime, 1.175120, absoluteTime, 1.175120, accumulator, 0.015120, discrete time, 116, input jump, 0
newTime, 1.175120, absoluteTime, 1.175120, accumulator, 0.005120, discrete time, 117, input jump, 0
newTime, 1.191713, absoluteTime, 1.191713, accumulator, 0.021713, discrete time, 117, input jump, 0
newTime, 1.191713, absoluteTime, 1.191713, accumulator, 0.011713, discrete time, 118, input jump, 0
newTime, 1.191713, absoluteTime, 1.191713, accumulator, 0.011713, discrete time, 118, input jump, 0
newTime, 1.191713, absoluteTime, 1.191713, accumulator, 0.001713, discrete time, 119, input jump, 0
newTime, 1.208340, absoluteTime, 1.208340, accumulator, 0.018340, discrete time, 119, input jump, 0
newTime, 1.208340, absoluteTime, 1.208340, accumulator, 0.008340, discrete time, 120, input jump, 0
newTime, 1.224958, absoluteTime, 1.224958, accumulator, 0.024958, discrete time, 120, input jump, 0
newTime, 1.224958, absoluteTime, 1.224958, accumulator, 0.014958, discrete time, 121, input jump, 0
newTime, 1.224958, absoluteTime, 1.224958, accumulator, 0.014958, discrete time, 121, input jump, 0
newTime, 1.224958, absoluteTime, 1.224958, accumulator, 0.004958, discrete time, 122, input jump, 0
newTime, 1.241587, absoluteTime, 1.241587, accumulator, 0.021587, discrete time, 122, input jump, 0
newTime, 1.241587, absoluteTime, 1.241587, accumulator, 0.011587, discrete time, 123, input jump, 0
newTime, 1.241587, absoluteTime, 1.241587, accumulator, 0.011587, discrete time, 123, input jump, 0
newTime, 1.241587, absoluteTime, 1.241587, accumulator, 0.001587, discrete time, 124, input jump, 0
newTime, 1.258238, absoluteTime, 1.258238, accumulator, 0.018238, discrete time, 124, input jump, 0
newTime, 1.258238, absoluteTime, 1.258238, accumulator, 0.008238, discrete time, 125, input jump, 0
newTime, 1.277612, absoluteTime, 1.277612, accumulator, 0.027612, discrete time, 125, input jump, 0
newTime, 1.277612, absoluteTime, 1.277612, accumulator, 0.017612, discrete time, 126, input jump, 0
